Date,Start,End ,Sector,Plant_Num,Latitude,Longitude,Elevation,GPS_Accuracy,Flower,Num_Pads,Baby_Pads,Needle_Length,Wrinkled,Green,Yellow,Orange,Red,DarkGreen,Brown/Gray,Pads_Num,Sun_and_Shade,Cactus_Bug,Cochineal_Scale,Spider_Mites,Cactus_Moth,Root_Rot,Dry_Rot,Rust_Fungus,Anthracnose_Fungus,Other/Turtle/Unknown,Description,,,
6/18/26,14:50,15:20,1,1,41.20845,-101.64758,994,3,0,9,0,3.5,2,7,1,0,0,1,0,9,1,0,0,1,0,0,0,0,0,0,,,,
6/18/26,14:50,15:20,1,2,41.20849,-101.64757,993,4,0,6,0,4,2,4,1,2,0,0,0,6,1,1,1,0,0,0,0,0,0,0,,,,
6/18/26,15:22,15:40,2,1,41.20839,-101.64747,986,3,0,2,0,2.5,1,2,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,,,,
6/18/26,15:22,15:40,2,2,41.2084,-101.64745,986,3,0,4,0,4.5,1,2,0,0,0,2,0,4,1,0,1,0,0,2,0,0,0,0,,,,
6/18/26,15:22,15:40,2,3,41.2084,-101.64748,987,3,0,7,0,4,3,6,1,0,0,0,0,7,1,0,4,0,0,0,0,0,0,0,,,,
6/18/26,15:45,16:08,3,1,41.2083,-101.64754,994,4,1,18,0,4,7,12,2,0,0,5,0,18,1,4,4,0,3,5,2,0,0,0,"1 adult CB, and 1 CM worm larvae are present",,,
6/18/26,16:10,16:45,4,1,41.20792,-101.64754,996,4,0,3,0,1,2,1,0,0,0,2,0,3,2,1,0,0,0,2,0,0,0,0,,,,
6/18/26,16:10,16:45,4,2,41.2079,-101.64755,996,4,0,6,0,1.5,2,4,2,0,0,0,0,6,2,0,0,0,0,2,0,0,0,0,,,,
6/18/26,16:10,16:45,4,3,41.20792,-101.64759,997,4,0,3,0,2,0,2,0,0,0,0,1,3,2,0,1,0,0,0,0,0,1,0,1 dead pad,,,
6/18/26,16:10,16:45,4,4,41.2079,-101.64756,999,3,0,6,0,2.5,0,4,0,0,0,0,2,6,2,0,1,0,0,0,0,0,0,0,2 dead pads,,,
6/18/26,16:47,17:25,5,1,41.20758,-101.64754,1000,3,0,3,1,3,2,1,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,SEVERE Rotting 1,,,
6/18/26,16:47,17:25,5,2,41.20758,-101.64755,1000,3,0,2,2,2,0,1,0,0,0,0,1,2,1,0,1,0,0,0,1,0,0,0,1 dead pad,,,
6/18/26,16:47,17:25,5,3,41.20758,-101.64753,1000,3,0,3,3,3,2,1,1,0,0,1,0,3,0,0,2,1,0,1,0,1,1,0,"1 old Turtle Bite, SEVERE Rotting 1",,,
6/18/26,16:47,17:25,5,4,41.20758,-101.64752,1001,3,0,8,3,4,5,0,2,0,1,2,0,5,0,3,0,0,3,3,2,1,1,0,SEVERE Rotting 3,,,
6/19/26,16:47,17:25,5,5,41.20758,-101.64753,1001,3,0,16,3,3.5,6,4,3,0,2,3,1,13,0,5,1,3,5,5,1,0,1,0,many CB nymphs. SEVERE Rotting 4,,,
6/19/26,16:47,17:25,5,6,41.20754,-101.64758,1001,3,0,10,1,4.5,5,6,0,1,0,1,2,9,0,0,0,0,4,2,1,3,0,0,,,,
6/19/26,16:47,17:25,5,7,41.20753,-101.64758,1000,3,0,2,2,3,1,1,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,almost SEVERE 1,,,
6/20/26,13:10,14:18,6,1,41.20768,-101.6476,1003,3,0,8,1,4,1,5,1,0,1,0,0,7,0,0,0,0,0,2,0,0,0,0,,,,
6/20/26,13:10,14:18,6,2,41.20765,-101.64758,1005,3,0,10,0,4.5,4,6,3,1,0,0,0,10,1,0,3,3,0,0,0,0,0,0,,,,
6/20/26,13:10,14:18,6,3,41.20765,-101.64759,1005,3,0,7,3,4,1,3,0,0,1,0,0,4,1,0,0,4,0,1,0,1,0,0,,,,
6/20/26,13:10,14:18,6,4,41.20766,-101.64759,1006,3,0,5,1,4.25,5,0,3,0,0,0,5,4,0,0,0,0,1,0,0,0,0,1,UNKNOWN cause of Death! worm holes? ,,,
6/20/26,13:10,14:18,6,5,41.20764,-101.64758,1006,3,0,10,0,4.5,5,9,1,0,0,0,0,10,0,0,3,4,6,0,0,1,0,0,,,,
6/20/26,13:10,14:18,6,6,41.20765,-101.64758,1006,3,0,7,1,4.5,2,5,0,0,1,0,0,6,0,0,0,4,2,0,0,0,0,0,,,,
6/20/26,14:20,14:39,7,1,41.20775,-101.64757,998,3,0,6,0,3,4,4,0,0,0,2,0,6,0,0,6,0,0,0,0,0,0,0,,,,
6/20/26,14:20,14:39,7,2,41.20775,-101.64758,998,3,0,3,0,1.5,1,3,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,,,,
6/20/26,14:45,15:35,8,1,41.20722,-101.64731,1005,3,0,10,0,4,5,5,0,1,0,3,0,10,0,5,2,0,4,3,0,0,0,0,many CB nymphs,,,
6/20/26,14:45,15:35,8,2,41.20719,-101.64729,1005,3,0,2,1,2.5,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,,,,
6/20/26,14:45,15:35,8,3,41.20717,-101.64729,1005,3,1,8,0,4,3,4,1,0,1,2,0,8,0,2,1,0,5,0,0,0,0,1,"1 TurtleBite, many CB nymphs",,,
6/20/26,14:45,15:35,8,4,41.20719,-101.64732,1005,3,0,7,0,4,4,7,0,0,0,0,0,7,0,1,1,0,4,0,0,2,0,0,1 CB nymph,,,
6/20/26,14:45,15:35,8,5,41.20723,-101.64731,1005,3,0,2,1,2,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1 CB nymph,,,
6/20/26,15:40,16:07,9,1,41.20636,-101.64734,1004,3,2,6,0,4,4,3,0,0,0,3,0,6,0,0,3,0,0,0,3,0,0,1,"1 TurtleBite, both of the open flowers were eaten (perhaps by the turtle?)",,,
6/20/26,15:40,16:07,9,2,41.20636,-101.64736,1004,3,0,3,1,2,2,1,0,0,0,1,0,2,0,0,2,0,0,0,0,0,0,0,,,,
6/20/26,15:40,16:07,9,3,41.20635,-101.64737,1004,3,0,10,2,3.5,6,2,2,0,0,3,1,8,0,0,3,3,0,3,1,1,0,0,,,,
6/20/26,16:12,16:32,10,1,41.20641,-101.64735,1011,3,0,9,1,4.25,2,8,0,0,0,0,0,8,0,0,6,0,0,0,0,1,0,1,1 TurtleBite,,,
6/20/26,16:12,16:32,10,2,41.2064,-101.64734,1010,3,0,4,0,4,2,2,0,0,1,0,1,4,0,0,2,0,0,0,0,0,0,1,UNKNOWN? worm/root/AnthFungus/other/or Tbite?,,,
6/20/26,16:12,16:32,10,3,41.20641,-101.64734,1010,3,0,4,2,4,2,1,0,0,1,0,0,2,0,0,1,0,1,1,0,0,0,0,,,,
6/20/26,16:35,16:56,11,1,41.20633,-101.64754,1011,3,0,4,0,3.5,1,4,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,,,,
6/20/26,16:35,16:56,11,2,41.20633,-101.64753,1010,3,0,5,1,3,2,2,0,0,0,2,0,4,0,0,1,0,0,0,0,0,0,0,,,,
6/20/26,16:35,16:56,11,3,41.20634,-101.64754,1010,3,0,14,2,4.5,5,11,0,1,0,0,0,12,0,1,3,0,1,0,2,0,0,2,"2 TurtleBites, 4 tiny CB nymphs (tiny as in antsize)",,,
6/20/26,17:00,17:21,12,1,41.2064,-101.64765,1011,3,0,4,0,4,1,2,0,0,2,0,0,4,0,0,0,0,0,0,1,0,0,2,whatever makes brown eggs/pellets (x2),,,
6/20/26,17:00,17:21,12,2,41.20637,-101.64767,1011,3,0,11,1,3.5,3,6,2,0,2,0,0,10,0,6,1,0,0,0,4,0,0,0,"1 adult CB, amd many CB nymphs are present",,,re: above
6/21/26,8:25,9:26,13,1,41.20755,-101.64745,989,3,1,17,1,5,8,13,3,0,0,0,0,16,0,6,0,0,9,0,0,1,0,0,many CB nymphs,,,
6/21/26,8:25,9:26,13,2,41.20754,-101.64745,989,3,2,11,0,5,7,6,5,0,0,0,0,11,0,4,1,3,7,0,2,3,3,0,"1 CB adult, and 1 CB nymph are present",,,
6/21/26,16:55,17:05,14,1,41.208,-101.64767,1000,3,0,5,0,2.75,0,4,1,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,,,,
6/21/26,16:55,17:05,14,2,41.208,-101.6477,1000,3,0,2,0,2.5,1,2,0,0,0,0,0,2,1,0,0,2,0,0,0,0,0,0,,,,
6/21/26,19:35,19:55,15,1,41.20731,-101.64638,972,3,0,8,0,2,5,3,3,0,0,0,2,8,2,0,0,0,2,2,0,0,0,1,The RootRot looks different from all the previos times,,,
6/21/26,19:35,19:55,15,2,41.20732,-101.64637,972,3,0,3,0,1.5,2,1,1,0,0,0,1,3,2,0,0,0,0,0,0,0,1,0,,,,
6/21/26,19:58,20:36,16,1,41.20726,-101.64641,968,3,0,6,1,3,2,3,2,0,0,0,0,5,2,0,0,0,0,0,0,0,1,0,,,,
6/21/26,19:58,20:36,16,2,41.20722,-101.64644,967,3,0,6,4,1,2,2,1,0,0,0,0,2,3,0,0,0,0,1,0,0,0,0,,,,
6/21/26,19:58,20:36,16,3,41.20724,-101.64641,968,3,0,2,0,1.5,1,1,1,0,0,0,1,2,2,0,0,0,0,0,0,0,1,0,,,,
6/21/26,19:58,20:36,16,4,41.20723,-101.64645,968,3,0,11,3,2.75,3,5,2,0,0,1,0,8,2,3,0,0,0,0,0,0,0,1,"Look up ""Black Rot?"" If this is, then it isn't CB",,,
6/21/26,19:58,20:36,16,5,41.20724,-101.64643,968,3,0,5,1,2,2,4,0,0,0,0,0,4,3,0,0,0,0,1,3,0,0,0,Definitely DRY ROT!!!,,,